ZDB-GENE-040426-2724
ZDB-GENE-030131-6986
ZDB-GENE-031002-1
ZDB-GENE-040801-33
ZDB-GENE-091118-47
ZDB-GENE-990415-34
ZDB-GENE-120718-1
ZDB-GENE-030916-3
ZDB-GENE-050417-335
ZDB-GENE-010816-1
ZDB-GENE-060929-978
ZDB-GENE-040426-1185
ZDB-GENE-070112-1852
ZDB-GENE-061103-52
ZDB-GENE-050522-418
ZDB-GENE-050302-9
ZDB-GENE-020419-14
ZDB-GENE-090312-121
ZDB-GENE-040912-47
ZDB-GENE-040426-1494
ZDB-GENE-080219-2
ZDB-GENE-010525-1
ZDB-GENE-040116-4
ZDB-GENE-030909-11
ZDB-GENE-030131-5344
ZDB-GENE-061103-82
ZDB-GENE-030131-6266
ZDB-GENE-050913-42
ZDB-GENE-030131-579
ZDB-GENE-051209-1
ZDB-GENE-030829-2
ZDB-GENE-040801-94
ZDB-GENE-031118-126
ZDB-GENE-030128-3
ZDB-GENE-021204-1
ZDB-GENE-060123-1
ZDB-GENE-051030-98
ZDB-GENE-040724-215
ZDB-GENE-041010-14
ZDB-GENE-091113-52
ZDB-GENE-030131-5493
ZDB-GENE-040426-1979
ZDB-GENE-030131-2100
ZDB-GENE-021209-1
ZDB-GENE-041212-59
ZDB-GENE-030131-8475
ZDB-GENE-080722-2
ZDB-GENE-000210-15
ZDB-GENE-030131-1565
ZDB-GENE-110406-5
ZDB-GENE-030131-322
ZDB-GENE-041114-206
ZDB-GENE-120910-1
ZDB-GENE-030131-2391
ZDB-GENE-030131-230
ZDB-GENE-030131-6014
ZDB-GENE-021211-3
ZDB-GENE-020419-4
ZDB-GENE-030131-7349
ZDB-GENE-030131-9510
ZDB-GENE-040305-1
ZDB-GENE-040625-139
ZDB-GENE-091204-28
ZDB-GENE-050309-15
ZDB-GENE-040426-2133
ZDB-GENE-030131-7209
ZDB-GENE-031031-4
ZDB-GENE-040426-1893
ZDB-GENE-031217-1
ZDB-GENE-030903-3
ZDB-GENE-060901-1
ZDB-GENE-000322-3
ZDB-GENE-121108-4
ZDB-GENE-040630-5
ZDB-GENE-070424-74
ZDB-GENE-131119-12
ZDB-GENE-031001-4
ZDB-GENE-031222-4
ZDB-GENE-080225-40
ZDB-GENE-040426-963
ZDB-GENE-040724-249
ZDB-GENE-091204-274
ZDB-GENE-050105-1
ZDB-GENE-040426-1906
ZDB-GENE-011220-2
ZDB-GENE-031006-8
ZDB-GENE-040808-7
ZDB-GENE-040808-44
ZDB-GENE-030131-6186
ZDB-GENE-031112-4
ZDB-GENE-041111-222
ZDB-GENE-030131-7434
ZDB-GENE-050417-218
ZDB-GENE-130530-591
ZDB-GENE-030131-6911
ZDB-GENE-031006-9
ZDB-GENE-040426-964
ZDB-GENE-051113-168
ZDB-GENE-040822-12
ZDB-GENE-980526-320
ZDB-GENE-040310-2
ZDB-GENE-030131-6402
ZDB-GENE-080219-25
ZDB-GENE-030131-1280
ZDB-GENE-001229-1
ZDB-GENE-050522-69
ZDB-GENE-070914-1
ZDB-GENE-060901-4
ZDB-GENE-030131-2656
ZDB-GENE-031116-55
ZDB-GENE-060503-789
ZDB-GENE-000511-2
ZDB-GENE-060503-85
ZDB-GENE-040426-1040
ZDB-GENE-040709-1
ZDB-GENE-030724-5
ZDB-GENE-030616-550
