edge	cor
ENSDARG00000002710 (geneExprCor) ENSDARG00000087440	0.8675496782946565
ENSDARG00000002710 (geneExprCor) ENSDARG00000089237	0.8099553469245081
ENSDARG00000002710 (geneExprCor) ENSDARG00000094198	0.8114723787334912
ENSDARG00000002710 (geneExprCor) ENSDARG00000096031	0.8844474520521574
ENSDARG00000002710 (geneExprCor) ENSDARG00000097826	0.8303017413509952
ENSDARG00000002710 (geneExprCor) ENSDARG00000099186	0.8082942872500669
ENSDARG00000002710 (geneExprCor) ENSDARG00000099954	0.8286478243840116
ENSDARG00000002710 (geneExprCor) ENSDARG00000104225	0.8352934973797836
ENSDARG00000002710 (geneExprCor) ENSDARG00000116122	0.8331192727639003
ENSDARG00000003570 (geneExprCor) ENSDARG00000006588	0.8433311449224743
ENSDARG00000003570 (geneExprCor) ENSDARG00000009242	0.882966654963196
ENSDARG00000003570 (geneExprCor) ENSDARG00000010602	0.8751198977399602
ENSDARG00000003570 (geneExprCor) ENSDARG00000012435	0.8229631002476216
ENSDARG00000003570 (geneExprCor) ENSDARG00000014244	0.8643884331803505
ENSDARG00000003570 (geneExprCor) ENSDARG00000014975	0.9170531899693313
ENSDARG00000003570 (geneExprCor) ENSDARG00000018491	0.8938480225186635
ENSDARG00000003570 (geneExprCor) ENSDARG00000019507	0.9106575443872816
ENSDARG00000003570 (geneExprCor) ENSDARG00000024204	0.9438445824704176
ENSDARG00000003570 (geneExprCor) ENSDARG00000025428	0.9433680962264498
ENSDARG00000003570 (geneExprCor) ENSDARG00000029290	0.8321578968890744
ENSDARG00000003570 (geneExprCor) ENSDARG00000031929	0.8256088574984424
ENSDARG00000003570 (geneExprCor) ENSDARG00000032801	0.921612268674363
ENSDARG00000003570 (geneExprCor) ENSDARG00000033160	0.8691887357103812
ENSDARG00000003570 (geneExprCor) ENSDARG00000035178	0.865207828469405
ENSDARG00000003570 (geneExprCor) ENSDARG00000036820	0.8465106268789878
ENSDARG00000003570 (geneExprCor) ENSDARG00000037409	0.8163275724673492
ENSDARG00000003570 (geneExprCor) ENSDARG00000040076	0.8142171909614657
ENSDARG00000003570 (geneExprCor) ENSDARG00000041433	0.8031908827641773
ENSDARG00000003570 (geneExprCor) ENSDARG00000041947	0.8958862404926173
ENSDARG00000003570 (geneExprCor) ENSDARG00000042458	0.8415361131882858
ENSDARG00000003570 (geneExprCor) ENSDARG00000043093	0.8201849450508486
ENSDARG00000003570 (geneExprCor) ENSDARG00000043279	0.824122587913287
ENSDARG00000003570 (geneExprCor) ENSDARG00000052115	0.8020935230108888
ENSDARG00000003570 (geneExprCor) ENSDARG00000052779	0.8549232910427221
ENSDARG00000003570 (geneExprCor) ENSDARG00000053761	0.874995344186824
ENSDARG00000003570 (geneExprCor) ENSDARG00000054160	0.8312347951610818
ENSDARG00000003570 (geneExprCor) ENSDARG00000054746	0.8280455704690513
ENSDARG00000003570 (geneExprCor) ENSDARG00000054827	0.8464349991947904
ENSDARG00000003570 (geneExprCor) ENSDARG00000055752	0.8431944840649953
ENSDARG00000003570 (geneExprCor) ENSDARG00000056196	0.8149225475186324
ENSDARG00000003570 (geneExprCor) ENSDARG00000062788	0.8674538067927298
ENSDARG00000003570 (geneExprCor) ENSDARG00000068951	0.8090266155596548
ENSDARG00000003570 (geneExprCor) ENSDARG00000070041	0.8235606065632297
ENSDARG00000003570 (geneExprCor) ENSDARG00000070480	0.8190165327040017
